ID,Name,Type,Payroll ($M),Risk Quality,Region,TIV ($M),Locations,Primary Asset Share,WC_clerical,WC_pubworks,WC_police,WC_fire,GL_gen,GL_epl,GL_lawenf,GL_abuse
member-189,Clearwater County 189,County,8.239,6.9,South,62.485,20,0.318,3.7076,2.0598,1.6478,0.8239,1.0,1.1,1.0,0.8
member-190,Southgate Transit Authority 190,Transit Authority,2.124,5.8,Central,12.361,30,0.386,0.531,1.593,0.0,0.0,1.6,1.0,0.1,0.3
member-191,Northvale Recreation District 191,Recreation District,2.304,4.6,North,6.283,6,0.36,1.0368,1.2672,0.0,0.0,1.0,0.8,0.05,1.9
member-192,Harbor City 192,City,28.958,4.2,Central,107.25,15,0.287,10.1353,8.6874,6.3708,3.7645,1.1,1.0,1.0,0.6
member-193,Clearwater School District 193,School District,14.228,9.1,North,37.023,10,0.211,9.9596,3.9838,0.2846,0.0,0.9,1.1,0.1,1.8
member-194,Oakdale School District 194,School District,2.472,6.8,South,7.411,10,0.219,1.7304,0.6922,0.0494,0.0,0.9,1.1,0.1,1.8
member-195,Harbor School District 195,School District,4.201,6.9,South,9.485,5,0.207,2.9407,1.1763,0.084,0.0,0.9,1.1,0.1,1.8
member-196,Riverton Water District 196,Water District,5.321,8.3,Central,32.599,4,0.652,1.5963,3.7247,0.0,0.0,0.8,1.2,0.0,0.1
member-197,Lakeside Water District 197,Water District,1.583,6.4,Central,12.307,5,0.67,0.4749,1.1081,0.0,0.0,0.8,1.2,0.0,0.1
member-198,Glenmoor Fire District 198,Fire District,1.715,6.6,North,5.781,5,0.434,0.1372,0.0686,0.0,1.5092,0.9,0.9,0.05,0.2
member-199,Maplewood Recreation District 199,Recreation District,0.889,2.8,South,2.748,8,0.312,0.4001,0.489,0.0,0.0,1.0,0.8,0.05,1.9
member-200,Oakdale Fire District 200,Fire District,6.117,5.1,North,22.753,2,0.415,0.4894,0.2447,0.0,5.383,0.9,0.9,0.05,0.2
